_id,synthetic_question,synthetic_answer
5640127,What is the name of the property?,LAULE'A HALE.
4761793,What is the neighborhood like where the apartment is located?,"The apartment is in the Leme neighborhood, which is very welcoming and touristy, with many taxis and a bus service. It is also near the beach and various restaurants, but without the noise and crowds of nearby Copacabana."
24916551,What type of transportation is available near the property?,"The property is a 7-minute walk to a train station, which provides easy access to Sydney International Airport and the city center."
10948197,What is the tax rate for this property?,The Hawaii State tax rate is 14%.
3014692,What is the interior design style of the apartment?,"The apartment boasts a modern and charming interior design, featuring a mix of sleek decor and vintage touches."
24163558,What kind of parking is available at this property?,The property offers plenty of parking on the house's land.
15908244,What type of property is described as having a cozy fireplace and a large backyard?,A cabin or cottage-style property.
20245250,What amenities are shared with the host?,The bathroom is shared with the host's cats and toddler.
19800005,What is the size of the bed in the room?,King size
12509339,What amenities are available at this property?,"The property offers a swimming pool, BBQ facilities, a games room, and a garden for guests to enjoy."
29602186,What is the total area of the apartment?,20m2
32645900,What type of property is this?,A double-floor studio.
29507756,What amenities are provided at this property?,"The property offers central heating, two bicycles for guest use, and a location near the beach and cycling lanes."
18215500,What is the maximum number of guests that can be accommodated in the property?,"The property can accommodate up to 4 guests, with the option to rent one or two bedrooms."
7596078,What type of floor does the apartment have?,The apartment has wood floors.
18107774,What type of traveler would this property be ideal for?,"This property is ideal for business travelers as it is located in a central area near SOHO, offering convenient access to business districts."
12924287,What amenities are available in the apartment?,"The apartment boasts a fast 35 megabyte WiFi connection, and the host provides a bike for guest use, as well as cabinets and drawers in the bedroom."
13728712,What is the parking situation like at this property?,"The property has street parking available, but there is street cleaning 4 days a week, so guests will need to be mindful of moving their car regularly to avoid any parking tickets."
3503965,What is the estimated time to reach Tophane and Karaköy from the property?,"The description mentions that Tophane is a 10-minute distance, while Karaköy is a 20-minute distance from the property."
12452082,How many bedrooms does the apartment have?,Three.
26549061,What is the maximum number of people that the property can accommodate?,6 people.
19981877,What type of mattress is provided in the private room?,A full-size memory foam mattress.
6342801,What is the height of the ceiling in the living room?,16 feet.
31208538,What is the closest airport to the property?,Ataturk airport is just a 5-minute distance from the flat.
13411324,How many people can the property accommodate?,"The property can accommodate up to 4 guests, but there is an extra charge for the fourth person."
27581537,What is the neighborhood like around the Mile End apartment?,"The apartment is surrounded by a vibrant neighborhood with various amenities, including grocery stores, bars, cafes, theaters, drugstores, parks, and swimming pools. It's also close to popular attractions like Mont-Royal and the Plateau, making it an ideal location for those seeking a mix of relaxation and urban exploration."
19877430,What is the maximum number of people that can stay in the top section of the duplex?,Six
28350222,What type of property is described as having a private hot tub?,"The property description indicates that it offers a private hot tub, suggesting it could be a vacation rental, a hotel suite, or a luxury home with amenities designed for relaxation and enjoyment."
10108388,What amenities are available in the building?,"The building has a 24-hour front desk, a rooftop area with a pool, sauna, and gym, as well as a mezzanine level with laundry facilities."
19373991,What is the maximum number of people that can stay in the apartment?,4
14733479,What iconic landmarks can you see from the property?,The Sydney Opera House and Bridge.
24498566,What is the style of the bedroom floor?,The bedroom floor has a retro 70s vibe with vinyl flooring.
18377036,What amenities are available in the common area of the property?,"The common area has a refrigerator, toaster, microwave, free coffee/tea, hot and cold filtered water dispenser, plates, mugs, iron and ironing board."
28493846,What airport is closest to La Sera Pera Taksim Suites?,Ataturk Airport.
2856208,What is the maximum capacity of the apartment?,The apartment can comfortably accommodate five people.
23700685,What is the maximum number of people that can stay in this property?,"The description does not specify a maximum occupancy, but since it is a single room (habitación), it is likely meant for a solo traveler or a couple."
26084478,What amenities are available for children at this property?,"This property offers a private, secure garden for children to play outdoors, as well as two desks for children to do their homework, making it a great choice for families with kids."
6589965,What public transport is available near the property?,"The Sherbrooke Metro station is 656 feet away, and bus stops are also located a few hundred feet from the building."
18730346,What is the maximum number of people that can stay in this property?,"The description does not specify a maximum number of guests, but it does mention that the property is a double room, suggesting it is suitable for two people."
16195143,What amenities are included in the property description?,"The property includes two full-size beds, fresh sheets, and towels for each guest, as well as daily professional cleaning services for common areas."
12010910,What amenities are available for children?,"The apartment has a cot, toys, and a high chair for children, as well as a baby carriage stroller."
18772566,What is the size of the bed in the private room?,Queen-sized.
21584362,What is the maximum number of people the apartment can accommodate?,"The apartment is a one-bedroom unit, so it is likely suitable for two people, providing a cozy and comfortable stay for a couple or two close friends."
20211255,Is the room bright and well-lit?,"Yes, the room has a lot of lighting fixtures to compensate for the lack of a window, and the light colors brighten the space."
22661818,What amenities are available in the apartment?,"The apartment offers an exclusive laundry facility with a second shower and storage, as well as a lock-up garage and an additional car space."
3953585,What is the size of the room available for booking?,"The room is described as tiny, small, and cozy, similar to Harry Potter's room."
32159739,What amenities does this property offer for guests who drive?,The property offers a parking garage with space for one vehicle.
26427671,What amenities are available in the guest room?,"The guest room has air conditioning, a television, chromecast, and a window with a sunny view."
12188601,What is the maximum number of people this property can accommodate?,"The property can accommodate up to 7 people, as it mentions having space for 7 beds or the option of 3 double beds and 1 single bed."
24825256,What size is the bed in the private room?,0.9m x 1.9m
31696863,What is the view from the apartment?,The apartment has floor to ceiling glass with views of Dee Why beach and a large wrap-around balcony.
32432419,What is the closest attraction to this property?,"The property is located near several shopping malls, including Trump AVM and Axis AVM."
31272924,What is the maximum number of floors in the building?,5
26942581,What is the maximum number of guests this property can accommodate?,"The description does not specify a maximum number of guests, but given that it is a small studio with limited amenities, it is likely suitable for one or two people."
